Filename,Line,Size (bytes),Count
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,64,1512320,4726
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,558,175768,3367
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,389,147936,67
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/text.py,314,112608,51
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,193,101760,2120
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/concat.py,177,84832,20
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,182,72000,3000
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,180,71952,2998
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,67,67520,1055
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,505,60072,1066
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,31,58996,2107
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,55,56496,2354
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,44,56256,2344
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,198,54896,622
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,103,52056,2169
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,121,51840,2160
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,120,51840,2160
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,498,51600,1067
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,279,40208,353
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/base.py,670,39896,497
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,122,37216,567
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,188,33480,155
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,182,32232,617
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/threading.py,364,32208,61
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/dtypes/concat.py,78,32160,4
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,230,27648,48
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,173,25984,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,172,25984,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1314,24800,200
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/artist.py,181,20088,177
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_process.py,84,19344,806
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_process.py,83,19344,806
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_process.py,82,19344,806
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/path.py,184,19240,65
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/artist.py,213,16632,297
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,197,15048,209
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,153,13328,232
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/compilerop.py,86,13262,219
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/blocks.py,800,12768,161
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/path.py,160,12728,43
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/format.py,1239,12240,70
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1311,12000,200
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copyreg.py,95,11376,237
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,710,11046,183
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tokenize.py,528,10024,179
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,186,9920,155
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,184,9920,155
<string>,1,9680,151
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/_methods.py,138,9624,401
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,502,9324,333
/var/folders/gk/qhk8w9w54t73z8lpmqkd7m280000gn/T/ipykernel_7461/486831927.py,2,9056,3
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1308,8800,200
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1305,8800,200
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1302,8800,200
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1299,8800,200
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,185,8680,155
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,684,7616,86
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/artist.py,201,7536,152
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,199,7392,15
/Users/elifohri/Documents/mobile-env/mobile_env/core/monitoring.py,48,7144,17
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,2370,6768,94
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/text.py,1259,6720,40
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,1913,6400,96
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,777,6272,124
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,227,6144,96
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/contextlib.py,87,5792,33
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,293,5040,30
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,683,4998,78
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/_methods.py,52,4800,200
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,76,4800,144
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/markers.py,243,4640,40
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/fromnumeric.py,46,4584,59
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,92,4560,57
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/compilerop.py,174,4398,52
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,192,4384,137
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/queue.py,210,4312,154
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/json/decoder.py,353,4201,40
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/path.py,178,4160,65
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/blocks.py,306,4024,62
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,772,3920,70
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/format.py,1311,3360,20
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1293,3264,101
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1291,3264,101
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/path.py,177,3120,65
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/fromnumeric.py,54,3080,19
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,237,3072,48
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,142,3008,47
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,767,2992,61
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/path.py,149,2560,40
/Users/elifohri/Documents/mobile-env/mobile_env/handlers/smart_city_handler.py,112,2400,100
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,863,2400,100
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,849,2400,100
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,744,2400,100
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/fromnumeric.py,42,2320,43
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/figure.py,2542,2320,3
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,1357,2304,48
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,530,2264,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/linalg/_linalg.py,2566,2259,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,2541,2256,47
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/patches.py,765,2208,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/patches.py,764,2208,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,2611,2208,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,2371,2208,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axes/_base.py,907,2208,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/history.py,773,2102,7
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/jupyter_client/session.py,1004,2048,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,1865,1904,60
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,1104,1848,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/managers.py,1021,1832,25
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/codeop.py,143,1789,28
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/jupyter_client/session.py,1057,1703,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/lib/_function_base_impl.py,5579,1629,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/lib/_shape_base_impl.py,660,1600,50
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,729,1584,33
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/array_algos/take.py,157,1548,16
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py,367,1536,18
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/async_helpers.py,151,1416,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/dtypes/cast.py,1604,1362,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,81,1344,24
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,60,1344,24
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/markers.py,313,1340,21
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,2615,1304,18
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py,377,1296,6
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,229,1296,3
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/managers.py,2285,1288,30
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/history.py,774,1288,4
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/cycler/__init__.py,262,1280,20
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,535,1264,3
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,1598,1224,23
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,225,1208,12
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/arrayprint.py,966,1202,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/series.py,1095,1197,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/managers.py,288,1176,21
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/frame.py,4271,1174,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,164,1144,23
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,98,1144,22
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/collections/__init__.py,674,1128,24
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,834,1120,20
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/format.py,702,1112,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/ops/array_ops.py,507,1065,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/history.py,827,1064,15
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,176,1056,22
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,172,1056,22
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,159,1056,22
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,154,1056,22
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/zmq/sugar/socket.py,805,1056,6
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/traitlets/traitlets.py,731,1038,15
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,1140,1024,16
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.py,780,1016,2
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/weakref.py,366,1008,18
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/base.py,6956,981,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/arrayprint.py,473,976,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/managers.py,958,887,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexing.py,1397,886,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/generic.py,4159,882,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/ticker.py,547,879,17
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/ipykernel/compiler.py,91,879,7
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,219,872,10
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1339,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1338,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1329,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1328,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1326,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1322,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1321,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1319,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1315,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1312,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1309,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1306,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1303,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1300,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1297,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1292,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1290,864,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1288,864,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/concat.py,304,856,15
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,226,848,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,2699,840,10
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py,443,840,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/interactiveshell.py,3353,836,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/arrayprint.py,815,818,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,830,816,17
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,798,816,17
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,173,816,2
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/queue.py,151,812,29
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/base.py,1809,803,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/generic.py,4796,797,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/format.py,704,780,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/traitlets/traitlets.py,1543,751,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/backends/backend_agg.py,205,749,12
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/_methods.py,110,745,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/managers.py,1347,734,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,2687,728,13
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,423,728,7
/var/folders/gk/qhk8w9w54t73z8lpmqkd7m280000gn/T/ipykernel_7461/173496355.py,21,720,30
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/patches.py,804,720,15
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/patches.py,803,720,15
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/artist.py,799,720,15
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/format.py,776,704,2
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,503,700,25
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/artist.py,1188,688,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,2328,688,9
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,84,688,5
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/ops/array_ops.py,352,677,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/blocks.py,223,672,4
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,1846,672,4
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.py,168,672,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/base.py,2346,664,10
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/arrayprint.py,64,648,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/backends/backend_agg.py,88,648,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/string.py,42,648,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/series.py,6231,648,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/numpy/_core/arrayprint.py,882,648,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,579,647,2
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,768,640,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/generic.py,4027,627,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/backends/backend_agg.py,397,624,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/array_algos/take.py,162,616,14
/Users/elifohri/Documents/mobile-env/mobile_env/core/utilities.py,52,600,25
/Users/elifohri/Documents/mobile-env/mobile_env/core/schedules.py,125,600,25
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/inspect.py,2879,600,1
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/inspect.py,2259,600,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/base.py,1167,592,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/jupyter_client/jsonutil.py,75,592,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/apply.py,864,578,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,78,576,24
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,1199,576,12
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/array_algos/take.py,165,576,8
/Users/elifohri/Documents/mobile-env/mobile_env/core/movement.py,59,576,6
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,700,576,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,637,576,1
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,533,576,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,709,560,35
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/ops/array_ops.py,113,560,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/frame.py,5242,560,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/nanops.py,1499,559,2
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axes/_base.py,2487,552,7
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_parse.py,834,552,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/range.py,1148,550,2
/var/folders/gk/qhk8w9w54t73z8lpmqkd7m280000gn/T/ipykernel_7461/2446506248.py,4,536,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/figure.py,1787,536,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/jupyter_client/session.py,1082,536,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/ipykernel/iostream.py,609,536,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/core/interactiveshell.py,3550,536,1
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/threading.py,574,536,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,117,528,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,498,528,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,497,528,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/axis.py,496,528,11
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,1398,528,9
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/io/formats/printing.py,223,528,1
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/IPython/lib/pretty.py,484,528,1
